subject,method,classifier_type,tar,far_human,far_attack,threshold,n_synthetic,mode,run_id,feature_set,split_mode,enroll_sessions,verify_sessions,verify_session,n_enroll_sessions
s002,vae,svm,0.92,0.0972,1.0,0.07837727281968938,80,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s002,gan,svm,0.92,0.0972,0.9875,0.07837727281968938,80,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s003,vae,svm,0.94,0.06,1.0,0.3313084829113124,80,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s003,gan,svm,0.94,0.06,0.9875,0.3313084829113124,80,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s004,vae,svm,0.92,0.0708,1.0,0.1470706696302135,80,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s004,gan,svm,0.92,0.0708,1.0,0.1470706696302135,80,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s005,vae,svm,0.96,0.0328,1.0,0.1797784132934981,80,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s005,gan,svm,0.96,0.0328,0.9875,0.1797784132934981,80,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s007,vae,svm,0.84,0.1564,1.0,0.17491646627038793,80,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s007,gan,svm,0.84,0.1564,1.0,0.17491646627038793,80,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s008,vae,svm,0.9,0.1036,0.9875,0.1262173719590752,80,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s008,gan,svm,0.9,0.1036,0.975,0.1262173719590752,80,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s010,vae,svm,0.98,0.0292,1.0,0.20383594935103408,80,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s010,gan,svm,0.98,0.0292,0.9875,0.20383594935103408,80,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s011,vae,svm,0.94,0.0528,1.0,0.22556593385864318,80,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s011,gan,svm,0.94,0.0528,0.9875,0.22556593385864318,80,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s012,vae,svm,0.96,0.0372,1.0,0.24219607129813747,80,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
