subject,tar,far,eer,accuracy,auc,threshold,classifier_type,mode,run_id,feature_set,split_mode,enroll_sessions,verify_sessions,verify_session,n_enroll_sessions,record_type,method,far_human,far_attack,n_synthetic
s002,0.82,0.16,0.020000000000000046,0.8396078431372549,0.8933200000000001,0.14349096357383143,svm,pilot,pilot_42_20260724T055128Z,hold_flight,losso,"2,3,4,5",1,1,4,baseline,,,,
s002,0.82,,,,,0.14349096357383143,svm,pilot,pilot_42_20260724T055128Z,hold_flight,losso,"2,3,4,5",1,1,4,attack,vae,0.16,1.0,20.0
s002,0.96,0.0392,0.0008000000000000368,0.9607843137254902,0.9803919999999999,0.4522285338953343,svm,pilot,pilot_42_20260724T055128Z,hold_flight,losso,"1,3,4,5",2,2,4,baseline,,,,
s002,0.96,,,,,0.4522285338953343,svm,pilot,pilot_42_20260724T055128Z,hold_flight,losso,"1,3,4,5",2,2,4,attack,vae,0.0392,1.0,20.0
s002,0.9,0.094,0.005999999999999978,0.9058823529411765,0.949736,0.15522514544750832,svm,pilot,pilot_42_20260724T055128Z,hold_flight,losso,"1,2,4,5",3,3,4,baseline,,,,
s002,0.9,,,,,0.15522514544750832,svm,pilot,pilot_42_20260724T055128Z,hold_flight,losso,"1,2,4,5",3,3,4,attack,vae,0.094,1.0,20.0
s002,0.94,0.0692,0.009199999999999944,0.9309803921568628,0.9881199999999999,0.22044825647538194,svm,pilot,pilot_42_20260724T055128Z,hold_flight,losso,"1,2,3,5",4,4,4,baseline,,,,
s002,0.94,,,,,0.22044825647538194,svm,pilot,pilot_42_20260724T055128Z,hold_flight,losso,"1,2,3,5",4,4,4,attack,vae,0.0692,1.0,20.0
s002,0.92,0.082,0.0020000000000000434,0.9180392156862746,0.9803999999999999,0.12837596992094016,svm,pilot,pilot_42_20260724T055128Z,hold_flight,losso,"1,2,3,4",5,5,4,baseline,,,,
s002,0.92,,,,,0.12837596992094016,svm,pilot,pilot_42_20260724T055128Z,hold_flight,losso,"1,2,3,4",5,5,4,attack,vae,0.082,1.0,20.0
