subject,tar,far,eer,accuracy,auc,threshold,classifier_type,mode,run_id,feature_set,split_mode,enroll_sessions,verify_sessions,verify_session,n_enroll_sessions
s002,0.92,0.0972,0.017200000000000035,0.9031372549019608,0.976216,0.07837727281968938,svm,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s003,0.94,0.06,5.551115123125783e-17,0.94,0.990656,0.3313084829113124,svm,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s004,0.92,0.0708,0.009199999999999958,0.9290196078431373,0.9870639999999999,0.1470706696302135,svm,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s005,0.96,0.0328,0.007200000000000033,0.9670588235294117,0.991472,0.1797784132934981,svm,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s007,0.84,0.1564,0.00360000000000002,0.8435294117647059,0.912184,0.17491646627038793,svm,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s008,0.9,0.1036,0.00360000000000002,0.8964705882352941,0.981344,0.1262173719590752,svm,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s010,0.98,0.0292,0.009199999999999982,0.9709803921568627,0.9967759999999999,0.20383594935103408,svm,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s011,0.94,0.0528,0.007200000000000054,0.9470588235294117,0.99064,0.22556593385864318,svm,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s012,0.96,0.0372,0.0028000000000000386,0.9627450980392157,0.992168,0.24219607129813747,svm,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s013,0.96,0.0424,0.0023999999999999647,0.9576470588235294,0.987256,0.1548887307752018,svm,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s015,0.96,0.042,0.001999999999999967,0.9580392156862745,0.9920640000000001,0.30137896729530916,svm,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s016,1.0,0.0096,0.0096,0.9905882352941177,0.9997119999999999,0.21196197735023703,svm,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s017,1.0,0.0052,0.0052,0.9949019607843137,0.999696,0.4176999129375621,svm,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s018,0.96,0.0472,0.007199999999999963,0.9529411764705882,0.9878800000000001,0.2999773030171947,svm,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s019,0.98,0.0016,0.018400000000000017,0.9980392156862745,0.997776,0.6119508516214279,svm,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s020,0.9,0.09,0.009999999999999981,0.9098039215686274,0.96488,0.13435526683749546,svm,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s021,0.92,0.0728,0.0071999999999999564,0.9270588235294117,0.9803999999999998,0.161085894258062,svm,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s022,0.98,0.0276,0.007599999999999982,0.9725490196078431,0.998608,0.11682519344747955,svm,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s024,0.98,0.0084,0.011600000000000018,0.9913725490196078,0.998392,0.3582226620207183,svm,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s025,0.98,0.0316,0.011599999999999985,0.9686274509803922,0.99924,0.050778103086484234,svm,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s026,0.9,0.078,0.021999999999999978,0.9215686274509803,0.9621919999999999,0.1580964513422712,svm,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s027,0.96,0.0536,0.013599999999999966,0.9466666666666667,0.982016,0.06963833767786852,svm,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s028,0.98,0.02,1.734723475976807e-17,0.98,0.999512,0.0944273540274016,svm,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s029,0.98,0.0232,0.0031999999999999806,0.9768627450980392,0.99792,0.3388912403096494,svm,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s030,1.0,0.0028,0.0028,0.9972549019607844,0.9998,0.5180316525445122,svm,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s031,0.94,0.0464,0.013600000000000056,0.9533333333333334,0.98244,0.24401435824621262,svm,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s032,0.86,0.1368,0.0032000000000000084,0.8631372549019608,0.9321679999999999,0.14858875849709743,svm,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
